MARCA_STANDARD,MODELO|CLASE|NUEVA_CATEGORIA|LIVIANOS_PESADOS|MODELO_VEH_STD|COD_NUEVA_CATEGORIA|NUEVO
JAC,A138|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MERCEDES BENZ,A160|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MERCEDES BENZ,A200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A200|L1A|
CHERY,A21|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS||L3|
MERCEDES BENZ,A250|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
AUDI,A3|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A3|L1A|
MAZDA,B2500|CAMIONETA|PICK UP|LIVIANOS||L6|SI
MAZDA,B2900|CAMIONETA|PICK UP|LIVIANOS||L6|SI
AUDI,A4|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A4|L1A|
MAZDA,BT50|CAMIONETA|PICK UP|LIVIANOS||L6|SI
AUDI,A5|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A5|L1A|
AUDI,A6|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A6|L1A|
AUDI,A7|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
MAZDA,CX 3|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
AUDI,A8|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|A8|L1A|
FERRARI,ABARTH 500|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
MAZDA,CX 5|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,CX 7|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,CX 9|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
HYUNDAI,ACCENT|AUTOMOVILES|BAJO RIESGO 2|LIVIANOS|ACCENT|L1B|
HONDA,ACCORD|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|ACCORD|L1A|
MAZDA,MX 5|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
MAZDA,RX 8|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
MG,MG GS|CAMIONETA|CHINO|LIVIANOS|MG|L3|SI
MG,MG6|AUTOMOVILES|CHINO|LIVIANOS||L3|SI
MG,ZS|CAMIONETA|CHINO|LIVIANOS|ZS|L3|SI
MITSUBISHI,DK|CAMIONETA|PICK UP|LIVIANOS||L6|SI
MITSUBISHI,ECLIPSE CROSS|CAMIONETA|BAJO RIESGO 1|LIVIANOS|ECLIPSE CROSS|L1A|SI
MITSUBISHI,ENDEAVOR V AMERICANA|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
MITSUBISHI,HXK|AUTOMOVILES|TIMON CAMBIADO|||L4|SI
NISSAN,BBWAL|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
NISSAN,F35|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
NISSAN,KICKS EXCLUSIVE CVT|CAMIONETA|BAJO RIESGO 1|LIVIANOS|KICKS EXCLUSIVE CVT|L1A|SI
NISSAN,PULSAR CETICO|AUTOMOVILES|TIMON CAMBIADO|||L4|SI
NISSAN,ROGUE V  AMERICANA|CAMIONETA|VERSION AMERICANA|||L10|SI
SUBARU,1.8|AUTOMOVILES|NO ASEGURABLE|LIVIANOS||LX|
NISSAN,SENTRA SENSE CVT|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|SENTRA SENSE CVT|L1A|SI
NISSAN,UFL|CAMIONETA|PICK UP|LIVIANOS||L6|SI
PEUGEOT,106|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
NISSAN,WJL|AUTOMOVILES|VAN||||SI
NISSAN,XTRAIL EXCLUSIVE CVT 4X4|CAMIONETA|BAJO RIESGO 1|LIVIANOS|Xtrail exclusive cvt 4x4|L1A|SI
VOLKSWAGEN,113|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|113|L1A|
PEUGEOT,3008 GT LINE1 6 AT 165HP|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
PORSCHE,MACAN|CAMIONETA|BAJO RIESGO 1|LIVIANOS|MACAN|L1A|SI
BMW,114I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|114I|L1A|
RENAULT,CAPTUR|CAMIONETA|BAJO RIESGO 3||CAPTUR||SI
BMW,116I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|116I|L1A|
RENAULT,DUSTER INTENS 1.6 MT|CAMIONETA|MEDIANO RIESGO||DUSTER INTENS 1.6 MT|L2|SI
LIFAN,120|AUTOMOVILES|CHINOS E INDIOS|LIVIANOS|120|L3|
VOLKSWAGEN,1200|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,120I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|120I|L1A|
RENAULT,HZG|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
RENAULT,OROCH|CAMIONETA|PICK UP|LIVIANOS|OROCH|L6|SI
RTM,125|VEHICULOS MENORES|VEHICULOS MENORES|LIVIANOS||L9|
BMW,125I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
SUZUKI,CIAZ SPORT GLX AT|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|CIAZ SPORT GLX AT|L1A|SI
SUZUKI,ERTIGA|CAMIONETA|VAN||ERTIGA||SI
HYUNDAI,130|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
SUZUKI,ERTIGA 1 4 GL AT|CAMIONETA|MEDIANO RIESGO|||L2|SI
VOLKSWAGEN,1300|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|1300|L1A|
BMW,130I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|130I|L1A|
SUZUKI,ERTIGA 1 4 GL MT|CAMIONETA|MEDIANO RIESGO|||L2|SI
SUZUKI,S CROSS|AUTOMOVILES|MEDIANO RIESGO|||L2|SI
AUDI,RS3|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|RS3|L1A|SI
TOYOTA,4RUNNER|CAMIONETA|BAJO RIESGO 2|LIVIANOS||L1B|SI
BMW,135CI|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
BMW,135I|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS|135I|L1A|
TOYOTA,AGYA|AUTOMOVILES|MEDIANO RIESGO||Agya|L2|SI
TOYOTA,KUN51L IKMSY|CAMIONETA|BAJO RIESGO 1|LIVIANOS||L1A|SI
TOYOTA,NCP|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|SI
ALFA ROMEO,147|AUTOMOVILES|BAJO RIESGO 1|LIVIANOS||L1A|
TOYOTA,PICK UP|CAMIONETA|PICK UP|LIVIANOS|PICK UP|L6|SI
TOYOTA,PROBOX CETICOS|CAMIONETA|NO ASEGURABLE|||LX|SI
